X Y W
225.48 -91.91 1
16.42 78.69 19.829
6.9 84.62 5.5883
12.01 73.72 6.05059
10 80 9.92857
8.48 63.41 10.5575
10 60 3.95321
5.91 57.65 4.50681
10 50 3.2483
12.33 45.51 9.24425
10.99 40.46 4.56252
10 40 4.2668
14.13 37.56 0.895232
6.66 38.6 4.19326
12.94 35.44 3.19465
13.04 36.12 4.02582
6.99 26.29 9.51807
13.52 -16.57 10.9028
10 -20 16.4745
13.84 -26.87 21.0545
14.28 -31.64 10.8174
19.44 -34.12 6.15672
19.86 -34.89 5.38904
12.79 -36.8 10.2192
20 -40 23.0009
10 -40 26.3768
10 -50 7.12306
18.17 -53.69 17.0524
20 -60 21.933
8.38 -57.97 11.8319
10 -60 11.5296
5.04 -61.13 6.8853
11.42 -64.44 4.13721
20 -70 6.4002
20 -100 0.002048
20 -90 4.52371
20 -80 3.48338
11.38 -74.79 8.91851
17.64 -80.64 13.2506
12.56 -79.41 11.0713
10 -80 2.75746
9.38 -80.35 15.465
20 -20 4.20161
20 -10 4.68609
12.83 -2.71 6.19978
15.42 -5.07 9.87112
10 0 5.59181
14.67 2.89 8.77323
20 0 13.9545
13.52 5.32 7.30065
10 10 4.46854
10 30 2.21159
5.55 24.18 4.98881
10.1 13.61 2.24867
11.95 14.73 12.0416
8.07 19.3 1.26941
9.25 19 0.899669
10 20 17.1434
21.4 12.25 6.05066
20 20 2.43706
18.23 26.78 5.54792
20 30 3.12002
16.33 37.32 5.49322
17.31 41.46 4.89546
21.21 44.62 6.56227
20 50 4.43103
20 80 15.7146
14.53 63.75 10.7493
11.05 59.76 4.43753
20 70 5.69299
16.43 55.39 1.80286
15.31 54.93 2.55789
17.51 56.54 5.33041
