X Y W
-90 100 0.5
-10 -100 0.5
110 100 0.5
30 10 0.00356661
40 10 9.16942
60 0 10.0857
50 10 19.7662
50.6632 11.7732 6.77385
40 20 0.145258
50 20 0.359768
60 20 6.21619
60 50 1.75872
20 100 0.00512
30 100 0.00512
100 100 0.2
60 70 15.675
93.3132 73.9732 4.99749
100 70 3.89657
90 70 23.0012
70 60 12.3593
71.9032 70.6032 5.07381
70 70 4.67257
80 70 24.4989
69.6732 50.4032 3.92885
70 50 4.30492
100 60 0.917513
101.333 60.4832 1.99492
80 60 9.38025
90 60 3.66081
100 50 0.162737
80 50 15.2961
90 50 4.80564
90 40 7.35203
80 40 10.1
70 40 9.67683
68.4332 33.4332 1.62154
70 30 12.7163
80 30 6.42104
80 20 10.9894
70 20 22.3621
70 10 4.65571
X The results saved at Tue Mar 29 21:17:33 2022

