X Y W
116.387 69.1569 1
116.338 71.0966 1
116.289 73.0363 1
118.223 47.4823 1
120.144 47.4795 1
114.383 49.4296 1
116.304 49.4268 1
118.224 49.4239 1
120.145 49.4211 1
116.305 51.3684 1
118.225 51.3656 1
120.146 51.3627 1
118.226 53.3072 1
120.146 53.3043 1
120.147 55.246 1
118.228 57.1904 1
120.148 57.1876 1
118.229 59.132 1
120.149 59.1292 1
116.309 61.0765 1
118.23 61.0737 1
120.15 61.0708 1
118.231 63.0153 1
120.151 63.0124 1
116.311 64.9597 1
118.232 64.9569 1
120.152 64.9541 1
116.312 66.9014 1
118.233 66.8985 1
120.153 66.8957 1
114.393 68.8458 1
116.313 68.843 1
118.233 68.8401 1
120.154 68.8373 1
114.394 70.7875 1
116.314 70.7846 1
118.234 70.7818 1
120.155 70.7789 1
114.395 72.7291 1
116.315 72.7262 1
118.235 72.7234 1
120.156 72.7206 1
114.395 74.6707 1
116.316 74.6679 1
118.236 74.665 1
120.157 74.6622 1
120.158 76.6038 1
117.552 46.897 1
117.61 48.8376 1
118.022 62.4214 1
118.081 64.3619 1
116.201 66.3614 1
118.14 66.3025 1
116.26 68.302 1
118.199 68.243 1
114.38 70.3015 1
116.319 70.2425 1
118.257 70.1835 1
114.439 72.2421 1
116.377 72.1831 1
118.316 72.1241 1
116.436 74.1236 1
118.375 74.0646 1
117.223 67.9286 1
115.441 70.0149 1
117.375 69.863 1
115.593 71.9493 1
117.527 71.7974 1
117.68 73.7318 1
118.218 44.1594 1
116.464 46.2592 1
118.388 46.0898 1
116.634 48.1895 1
118.557 48.0202 1
118.727 49.9506 1
118.897 51.881 1
119.237 55.7417 1
119.407 57.6721 1
119.577 59.6025 1
117.993 63.6327 1
119.917 63.4633 1
116.239 65.7324 1
118.163 65.5631 1
120.087 65.3937 1
116.409 67.6628 1
118.333 67.4935 1
120.256 67.3241 1
114.655 69.7626 1
116.579 69.5932 1
118.502 69.4238 1
120.426 69.2545 1
114.825 71.693 1
116.748 71.5236 1
118.672 71.3542 1
120.596 71.1849 1
114.994 73.6234 1
116.918 73.454 1
118.842 73.2846 1
120.766 73.1153 1
120.936 75.0457 1
118.697 44.342 1
116.771 44.4924 1
116.922 46.4223 1
118.847 46.272 1
117.072 48.3523 1
118.998 48.2019 1
119.148 50.1319 1
119.299 52.0619 1
119.6 55.9218 1
119.751 57.8518 1
119.901 59.7818 1
118.277 63.7921 1
120.202 63.6417 1
116.502 65.8725 1
118.428 65.7221 1
120.353 65.5717 1
116.653 67.8024 1
118.578 67.652 1
120.504 67.5017 1
114.878 69.8828 1
116.804 69.7324 1
118.729 69.582 1
120.654 69.4316 1
115.029 71.8128 1
116.954 71.6624 1
118.88 71.512 1
120.805 71.3616 1
115.179 73.7427 1
117.105 73.5923 1
119.03 73.442 1
120.955 73.2916 1
117.606 44.5209 1
117.734 46.4524 1
118.761 61.9042 1
118.889 63.8357 1
117.086 65.8955 1
119.018 65.7672 1
117.214 67.827 1
119.146 67.6987 1
115.411 69.8868 1
117.343 69.7585 1
119.274 69.6301 1
115.54 71.8183 1
117.471 71.6899 1
119.402 71.5616 1
115.668 73.7498 1
117.599 73.6214 1
119.531 73.4931 1
117.089 44.6778 1
118.167 64.014 1
118.274 65.9476 1
118.382 67.8813 1
116.556 69.9227 1
118.49 69.8149 1
114.731 71.964 1
116.664 71.8563 1
118.598 71.7485 1
116.772 73.7899 1
118.705 73.6821 1
117.153 44.7751 1
117.239 46.7104 1
118.013 64.1282 1
118.099 66.0635 1
118.185 67.9988 1
116.336 70.0201 1
118.271 69.9341 1
114.487 72.0414 1
116.422 71.9554 1
118.357 71.8694 1
116.508 73.8907 1
118.443 73.8047 1
117.625 65.988 1
117.718 67.9238 1
115.875 69.9521 1
117.811 69.8595 1
115.968 71.8878 1
117.903 71.7953 1
116.061 73.8236 1
117.996 73.731 1
117.761 65.6108 1
117.888 67.5452 1
118.015 69.4796 1
116.207 71.5406 1
118.141 71.414 1
116.334 73.475 1
118.268 73.3484 1
118.49 65.2079 1
118.653 67.1397 1
116.884 69.2348 1
118.816 69.0716 1
115.116 71.3298 1
117.047 71.1666 1
118.979 71.0035 1
115.279 73.2617 1
117.211 73.0985 1
119.142 72.9354 1
119.306 74.8672 1
118.83 62.7934 1
117.102 64.9224 1
119.031 64.7219 1
117.303 66.8509 1
119.231 66.6503 1
117.503 68.7793 1
119.432 68.5788 1
115.776 70.9083 1
117.704 70.7077 1
119.632 70.5072 1
115.976 72.8367 1
117.904 72.6362 1
119.833 72.4356 1
120.033 74.3641 1
119.105 62.3981 1
117.417 64.5593 1
119.342 64.3224 1
117.654 66.4836 1
119.579 66.2468 1
115.967 68.6448 1
117.891 68.4079 1
119.815 68.1711 1
116.204 70.5691 1
118.128 70.3323 1
120.052 70.0954 1
114.516 72.7303 1
116.441 72.4934 1
118.365 72.2566 1
120.289 72.0197 1
116.678 74.4177 1
118.602 74.1809 1
120.526 73.944 1
117.699 64.1607 1
119.62 63.8859 1
117.974 66.0816 1
119.895 65.8067 1
118.249 68.0024 1
120.17 67.7276 1
116.603 70.1981 1
118.524 69.9232 1
120.445 69.6484 1
114.957 72.3937 1
116.878 72.1189 1
118.799 71.8441 1
120.72 71.5692 1
115.232 74.3146 1
117.153 74.0397 1
119.074 73.7649 1
120.994 73.49 1
121.269 75.4109 1
119.931 63.4136 1
118.33 65.6446 1
120.246 65.3296 1
116.729 67.8756 1
118.645 67.5606 1
120.561 67.2457 1
117.044 69.7916 1
118.96 69.4767 1
120.876 69.1618 1
115.443 72.0226 1
117.359 71.7077 1
119.275 71.3928 1
121.191 71.0778 1
115.758 73.9387 1
117.674 73.6237 1
119.59 73.3088 1
121.506 72.9939 1
117.989 75.5398 1
119.905 75.2249 1
121.821 74.9099 1
120.265 62.8613 1
118.716 65.1283 1
120.624 64.7694 1
117.167 67.3953 1
119.075 67.0364 1
120.982 66.6774 1
117.525 69.3033 1
119.433 68.9444 1
121.341 68.5855 1
115.976 71.5703 1
117.884 71.2114 1
119.792 70.8525 1
121.7 70.4935 1
114.427 73.8373 1
116.335 73.4784 1
118.243 73.1194 1
120.151 72.7605 1
122.059 72.4016 1
116.694 75.3864 1
118.602 75.0275 1
120.51 74.6686 1
122.418 74.3096 1
122.777 76.2177 1
121.931 68.5197 1
120.431 70.795 1
122.33 70.3945 1
120.829 72.6697 1
122.728 72.2692 1
119.328 74.945 1
121.227 74.5445 1
123.126 74.144 1
119.726 76.8197 1
121.625 76.4193 1
123.525 76.0188 1
121.586 65.3181 1
120.138 67.6434 1
122.027 67.2011 1
120.58 69.5265 1
122.469 69.0842 1
117.243 72.2941 1
119.132 71.8518 1
121.021 71.4095 1
122.91 70.9672 1
117.685 74.1772 1
119.574 73.7349 1
121.463 73.2926 1
123.352 72.8503 1
118.127 76.0602 1
120.016 75.6179 1
121.905 75.1756 1
123.794 74.7333 1
118.568 77.9433 1
120.457 77.501 1
122.346 77.0587 1
124.235 76.6164 1
119.019 63.7109 1
120.897 63.2278 1
117.625 66.0718 1
119.503 65.5887 1
121.381 65.1056 1
118.109 67.9497 1
119.987 67.4666 1
121.865 66.9835 1
114.837 70.7938 1
116.715 70.3107 1
118.593 69.8276 1
120.471 69.3445 1
122.349 68.8614 1
115.321 72.6716 1
117.199 72.1885 1
119.077 71.7054 1
120.955 71.2223 1
122.833 70.7392 1
115.805 74.5495 1
117.683 74.0664 1
119.561 73.5833 1
121.439 73.1002 1
123.317 72.6171 1
116.289 76.4274 1
118.167 75.9443 1
120.045 75.4612 1
121.923 74.9781 1
123.801 74.4949 1
122.407 76.8559 1
124.285 76.3728 1
117.739 63.9618 1
119.605 63.4427 1
121.47 62.9236 1
118.265 65.8245 1
120.13 65.3054 1
121.996 64.7863 1
115.059 68.7254 1
116.925 68.2063 1
118.79 67.6872 1
120.656 67.1681 1
122.521 66.649 1
113.719 71.1072 1
115.584 70.5881 1
117.45 70.069 1
119.316 69.5499 1
121.181 69.0308 1
123.047 68.5117 1
116.11 72.4508 1
117.976 71.9317 1
119.841 71.4126 1
121.707 70.8935 1
123.572 70.3744 1
118.501 73.7944 1
120.367 73.2753 1
122.232 72.7562 1
124.098 72.2371 1
122.758 74.6189 1
124.623 74.0998 1
125.149 75.9625 1
119.543 46.4133 1
120.102 48.2695 1
121.6 59.9643 1
123.457 59.4062 1
118.446 62.9364 1
120.302 62.3784 1
122.159 61.8204 1
124.016 61.2624 1
117.148 65.3506 1
119.005 64.7926 1
120.861 64.2345 1
122.718 63.6765 1
124.575 63.1185 1
117.707 67.2067 1
119.564 66.6487 1
121.42 66.0907 1
123.277 65.5326 1
125.134 64.9746 1
114.553 70.1789 1
116.409 69.6209 1
118.266 69.0628 1
120.123 68.5048 1
121.979 67.9468 1
123.836 67.3888 1
125.693 66.8307 1
115.112 72.035 1
116.968 71.477 1
118.825 70.919 1
120.682 70.3609 1
122.538 69.8029 1
124.395 69.2449 1
126.252 68.6869 1
115.671 73.8912 1
117.527 73.3331 1
119.384 72.7751 1
121.241 72.2171 1
123.098 71.659 1
124.954 71.101 1
126.811 70.543 1
119.943 74.6312 1
121.8 74.0732 1
123.657 73.5152 1
125.513 72.9571 1
127.37 72.3991 1
122.359 75.9293 1
124.216 75.3713 1
126.072 74.8133 1
127.929 74.2552 1
119.954 45.5147 1
121.8 44.9188 1
120.55 47.3602 1
122.396 46.7643 1
121.146 49.2057 1
122.992 48.6098 1
123.588 50.4553 1
122.934 54.7422 1
125.375 55.9918 1
122.28 59.0292 1
124.126 58.4332 1
125.971 57.8373 1
122.876 60.8747 1
124.722 60.2787 1
126.567 59.6828 1
117.935 64.508 1
119.781 63.9121 1
121.626 63.3161 1
123.472 62.7202 1
125.318 62.1242 1
127.163 61.5283 1
116.686 66.9495 1
118.531 66.3536 1
120.377 65.7576 1
122.222 65.1616 1
