x y w
17.8208 99.55 1.0
-80.0 10.0 1.0
-80.0 90.0 1.0
110.0 100.0 1.0
-132.709 -55.88 1.0
-130.0 -50.0 1.0
-140.0 -50.0 1.0
-80.9292 87.21 1.0
-83.4892 90.0 1.0
-90.0 100.0 1.0
-84.3692 90.0 1.0
-80.4092 46.32 1.0
-80.0 40.0 1.0
-79.8092 18.8 1.0
-86.7292 43.82 1.0
-90.0 60.0 1.0
-89.9092 48.85 1.0
-90.0 50.0 1.0
-90.2692 45.37 1.0
-100.0 50.0 1.0
-110.0 40.0 1.0
-120.0 30.0 1.0
-100.59899999999999 36.62 1.0
-109.73899999999999 32.58 1.0
-74.9592 -15.85 1.0
-80.0 0.0 1.0
-110.0 30.0 1.0
-80.0 -10.0 1.0
-81.5692 -14.47 1.0
-107.649 27.11 1.0
-100.0 30.0 1.0
-86.3892 -10.34 1.0
-90.0 0.0 1.0
-80.0 -40.0 1.0
-90.0 -10.0 1.0
-110.0 -10.0 1.0
-111.949 -16.19 1.0
-100.949 -18.41 1.0
-110.0 -20.0 1.0
-110.0 -30.0 1.0
-102.90899999999999 -32.3 1.0
-100.0 -40.0 1.0
-110.0 -40.0 1.0
-91.1192 -40.53 1.0
-95.3692 -44.24 1.0
-132.709 -55.88 1.0
-132.709 -55.88 1.0
-132.709 -55.88 1.0
-132.709 -55.88 1.0
-132.709 -55.88 1.0
-132.709 -55.88 1.0
-132.709 -55.88 1.0
-132.709 -55.88 1.0
-132.709 -55.88 1.0
-132.709 -55.88 1.0
-130.0 -50.0 1.0
-130.0 -50.0 1.0
-130.0 -50.0 1.0
-130.0 -50.0 1.0
-130.0 -50.0 1.0
-130.0 -50.0 1.0
-130.0 -50.0 1.0
-130.0 -50.0 1.0
-130.0 -50.0 1.0
-130.0 -50.0 1.0
-130.0 -50.0 1.0
-140.0 -50.0 1.0
-140.0 -50.0 1.0
-140.0 -50.0 1.0
-140.0 -50.0 1.0
-140.0 -50.0 1.0
-140.0 -50.0 1.0
-140.0 -50.0 1.0
-140.0 -50.0 1.0
-140.0 -50.0 1.0
-140.0 -50.0 1.0
-140.0 -50.0 1.0
-140.0 -50.0 1.0
-86.7292 43.82 1.0
-86.7292 43.82 1.0
-86.7292 43.82 1.0
-86.7292 43.82 1.0
-90.0 60.0 1.0
-90.0 60.0 1.0
-90.0 50.0 1.0
-90.0 50.0 1.0
-90.0 50.0 1.0
-90.0 50.0 1.0
-90.0 50.0 1.0
-90.0 50.0 1.0
-90.0 50.0 1.0
-90.0 50.0 1.0
-90.0 50.0 1.0
-90.0 50.0 1.0
-90.2692 45.37 1.0
-90.2692 45.37 1.0
-90.2692 45.37 1.0
-100.0 50.0 1.0
-100.0 50.0 1.0
-110.0 40.0 1.0
