X Y W
115.212 98.5647 1
114.612 99.6047 1
-90 100 0.5
-10 -100 0.5
110 100 0.5
40 10 4.18667
59.2823 2.82473 3.90424
50 10 8.62641
43.4323 15.7047 0.0864785
45.6123 15.3847 4.07826
65.5223 19.4247 4.2979
63.0069 45.3741 1.03139
20 100 0.001215
30 100 0.001215
100 100 0.15
60 70 8.17547
60.3123 69.7347 5.73097
94.4923 74.8547 3.82912
100 70 2.93502
90.4023 69.5547 1.55939
88.6823 70.4047 0.209993
86.8346 70.8894 0.741332
82.4923 71.4047 1.23578
100.172 66.8347 1.67298
70 60 4.65657
70.8469 67.0341 3.6654
91.0423 67.5547 3.84204
86.9669 68.4441 2.67912
83.3923 68.9647 0.847103
80 70 3.84326
68.6723 45.7147 1.06759
70 50 1.10769
92.2146 64.4994 7.18475
72.2569 66.3941 2.86682
74.3569 63.6041 2.34525
85.5223 63.5247 4.43743
84.1769 65.2241 2.37173
100 60 0.984485
95.6923 61.1247 0.952717
90 60 3.25881
94.2523 52.2147 0.300413
90 50 2.57864
78.4423 50.5647 4.93871
80.4069 47.4641 0.120374
71.5223 46.9547 0.316256
71.5746 45.2195 3.38093
76.5423 44.9547 2.71251
70.2423 40.9247 1.34226
70.3769 40.1241 4.18243
70 40 1.09847
85.1023 38.8947 1.73301
83.3023 37.7447 0.429442
87.3623 38.3847 2.23172
76.7823 38.6147 1.59161
87.3323 34.5747 0.423018
70.6746 31.6994 0.691216
68.0323 28.8647 0.387638
73.9723 28.1747 2.72042
69.7669 26.9542 0.528797
77.0623 26.1447 2.03321
75.7923 26.3247 0.985953
73.0523 23.9247 3.54531
77.2446 21.3095 0.924126
72.8523 20.3147 1.72196
70 20 2.78546
67.0023 14.6247 2.48697
70.6869 14.3342 5.62598
69.7523 14.2247 0.309947
76.9523 16.8647 8.46084
82.1623 18.1347 0.329702
X The results saved at Thu Mar 31 15:54:22 2022

